PROD_EST,COBERTURA,ANIO,Estado,Industria,VAL_USD,ESTATUS_CIFRA,ESTATUS
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Coahuila de Zaragoza,"Minería de minerales metálicos y no metálicos, excepto petróleo y gas",14917,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Coahuila de Zaragoza,Industria alimentaria,88205,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Coahuila de Zaragoza,Industria de las bebidas y del tabaco,77,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Coahuila de Zaragoza,Fabricación de insumos textiles y acabado de textiles,19107,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Coahuila de Zaragoza,"Fabricación de productos textiles, excepto prendas de vestir",124987,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Coahuila de Zaragoza,Fabricación de prendas de vestir,794735,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Coahuila de Zaragoza,"Curtido y acabado de cuero y piel, y fabricación de productos de cuero, piel y materiales sucedáneos",45179,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Coahuila de Zaragoza,Industria del papel,33223,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Coahuila de Zaragoza,Industria química,96531,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Coahuila de Zaragoza,Industria del plástico y del hule,169144,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Coahuila de Zaragoza,Fabricación de productos a base de minerales no metálicos,80551,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Coahuila de Zaragoza,Industrias metálicas básicas,3434992,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Coahuila de Zaragoza,Fabricación de productos metálicos,412264,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Coahuila de Zaragoza,Fabricación de maquinaria y equipo,1513119,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Coahuila de Zaragoza,"Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos",207684,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Coahuila de Zaragoza,"Fabricación de accesorios, aparatos eléctricos y equipo de generación de energía eléctrica",620734,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Coahuila de Zaragoza,Fabricación de equipo de transporte,9682512,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Coahuila de Zaragoza,"Fabricación de muebles, colchones y persianas",46618,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Coahuila de Zaragoza,Otras industrias manufactureras,76333,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Colima,Subsectores no especificados,41710,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Colima,Industria alimentaria,19819,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Colima,Industria química,18024,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Chiapas,Subsectores no especificados,260,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Chiapas,Extracción de petróleo y gas,379372,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Chiapas,Industria alimentaria,83315,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Chiapas,Industria química,301951,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Chiapas,Fabricación de equipo de transporte,143352,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Chihuahua,Subsectores no especificados,115776,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Chihuahua,"Minería de minerales metálicos y no metálicos, excepto petróleo y gas",71709,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Chihuahua,Industria alimentaria,320235,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Chihuahua,Industria de las bebidas y del tabaco,105134,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Chihuahua,Fabricación de prendas de vestir,222113,Disponible,Cifras Revisadas.
